w1,w2,w3,w4,count,p1,p2,p3,p4,joint.prob.nonnorm,joint.prob,expected,disparity,score
google_ad_width,336,google_ad_height,280,14,6.58E-05,9.21E-05,6.58E-05,5.26E-05,2.10E-17,4.50E-13,1.37E-07,102350333.4,3.806844686
inc,all,rights,reserved,29,0.000157838,0.00395253,0.000483379,0.000355136,1.07E-13,2.30E-09,0.000699178,41477.29579,3.392180564
charlotte,rich,homie,quan,9,7.89E-05,0.000141397,3.62E-05,2.96E-05,1.19E-17,2.56E-13,7.80E-08,115405590.8,3.267704807
lhhnys,amina,buddafly,talks,15,4.93E-05,4.93E-05,4.93E-05,0.000243334,2.92E-17,6.27E-13,1.91E-07,78683739.77,3.237058857
widgets,js,fjs,parentnode,7,2.30E-05,0.000187433,6.91E-05,2.96E-05,8.82E-18,1.89E-13,5.76E-08,121608119.1,3.083601104
sign,in,sign,in,27,0.000805632,0.012064753,0.000805632,0.012064753,9.45E-11,2.03E-06,0.616777271,43.77593221,3.007132394
to,create,a,new,26,0.02759208,0.000220316,0.021117428,0.001854598,2.38E-10,5.11E-06,1.554313782,16.72763911,2.815274149
amina,buddafly,talks,peter,15,4.93E-05,4.93E-05,0.000243334,6.25E-05,3.70E-17,7.94E-13,2.41E-07,62118741.92,2.703960676
sign,up,sign,in,25,0.000805632,0.003225817,0.000805632,0.012064753,2.53E-11,5.42E-07,0.164911012,151.596911,2.623421116
up,sign,in,sign,25,0.003225817,0.000805632,0.012064753,0.000805632,2.53E-11,5.42E-07,0.164911012,151.596911,2.623421116
in,sign,in,sign,25,0.012064753,0.000805632,0.012064753,0.000805632,9.45E-11,2.03E-06,0.616777271,40.53327056,2.623417541
addthis_config,data_track_addressbar,TRUE,addthis_button_facebook_share,14,4.60E-05,4.60E-05,0.000338694,4.60E-05,3.30E-17,7.09E-13,2.16E-07,64894207.8,2.601423918
alano,miller,renwick,scott,15,4.93E-05,9.86E-05,4.93E-05,0.000164415,3.95E-17,8.47E-13,2.58E-07,58225967.43,2.578682603
fill,1722,st2,fill,12,0.000124955,3.95E-05,3.95E-05,0.000124955,2.43E-17,5.22E-13,1.59E-07,75605047.73,2.562407632
buddafly,talks,peter,gunz,15,4.93E-05,0.000243334,6.25E-05,5.59E-05,4.19E-17,9.00E-13,2.74E-07,54810654.64,2.468770302
add,a,comment,add,24,0.000279505,0.021117428,0.000664236,0.000279505,1.10E-12,2.35E-08,0.007154187,3354.678851,2.431666824
comment,add,a,comment,24,0.000664236,0.000279505,0.021117428,0.000664236,2.60E-12,5.59E-08,0.017001715,1411.622289,2.431604292
sign,in,sign,up,24,0.000805632,0.012064753,0.000805632,0.003225817,2.53E-11,5.42E-07,0.164911012,145.5330346,2.431563546
a,comment,add,a,24,0.021117428,0.000664236,0.000279505,0.021117428,8.28E-11,1.78E-06,0.540519873,44.40169766,2.431560292
legette,336,887,8907,11,0.000180856,9.21E-05,3.62E-05,3.62E-05,2.18E-17,4.68E-13,1.42E-07,77336733.6,2.42627973
subscribe,follow,tmz,apps,23,0.000223604,0.000453785,0.000805632,9.54E-05,7.80E-15,1.67E-10,5.09E-05,451933.9692,2.254245721
contact,tmz,subscribe,follow,23,0.000302523,0.000805632,0.000223604,0.000453785,2.47E-14,5.31E-10,0.000161452,142457.4468,2.244286084
follow,tmz,apps,tmz,23,0.000453785,0.000805632,9.54E-05,0.000805632,2.81E-14,6.03E-10,0.000183362,125434.7343,2.243738255
by,wordpress,com,vip,23,0.002772032,0.00013482,0.001226534,8.55E-05,3.92E-14,8.41E-10,0.000255855,89894.56933,2.242594494
tmz,contact,tmz,subscribe,23,0.000805632,0.000302523,0.000805632,0.000223604,4.39E-14,9.43E-10,0.000286635,80241.33738,2.242283832
apps,tmz,tmz,live,23,9.54E-05,0.000805632,0.000805632,0.000723425,4.48E-14,9.61E-10,0.000292317,78681.78788,2.242233642
tmz,apps,tmz,tmz,23,0.000805632,9.54E-05,0.000805632,0.000805632,4.99E-14,1.07E-09,0.000325534,70653.03401,2.241975259
powered,by,wordpress,com,23,0.000118379,0.002772032,0.00013482,0.001226534,5.43E-14,1.16E-09,0.000354261,64923.85562,2.241790882
tmz,live,tmz,sports,23,0.000805632,0.000723425,0.000805632,0.000124955,5.87E-14,1.26E-09,0.000383036,60046.62759,2.241633922
tmz,subscribe,follow,tmz,23,0.000805632,0.000223604,0.000453785,0.000805632,6.59E-14,1.41E-09,0.000429953,53494.22492,2.241423051
tmz,tmz,live,tmz,23,0.000805632,0.000805632,0.000723425,0.000805632,3.78E-13,8.12E-09,0.002469572,9313.354483,2.240001213
about,tmz,contact,tmz,23,0.003791404,0.000805632,0.000302523,0.000805632,7.44E-13,1.60E-08,0.004860154,4732.35988,2.239853786
when,it,comes,to,23,0.002801627,0.007714339,0.00026964,0.02759208,1.61E-10,3.45E-06,1.04977432,21.90947097,2.239702194
nothing,to,do,with,23,0.000476803,0.02759208,0.002541852,0.008704116,2.91E-10,6.25E-06,1.900272692,12.10352603,2.239701878
to,take,care,of,23,0.02759208,0.001016083,0.000690542,0.01604359,3.11E-10,6.67E-06,2.027790491,11.34239464,2.239701854
epic,snl,meltdown,uncensored,8,5.26E-05,6.91E-05,8.88E-05,4.27E-05,1.38E-17,2.96E-13,9.00E-08,88867471.66,2.221792201
js,fjs,parentnode,insertbefore,7,0.000187433,6.91E-05,2.96E-05,2.96E-05,1.13E-17,2.43E-13,7.40E-08,94584092.64,2.213908304
fjs,parentnode,insertbefore,js,7,6.91E-05,2.96E-05,2.96E-05,0.000187433,1.13E-17,2.43E-13,7.40E-08,94584092.64,2.213908304
parentnode,insertbefore,js,fjs,7,2.96E-05,2.96E-05,0.000187433,6.91E-05,1.13E-17,2.43E-13,7.40E-08,94584092.64,2.213908304
sam,hunt,manny,pacquiao,14,6.25E-05,5.59E-05,0.000105225,0.000111802,4.11E-17,8.82E-13,2.68E-07,52191027.76,2.192607555
carson,donald,trump,meek,15,5.59E-05,0.000101937,0.000131532,6.91E-05,5.18E-17,1.11E-12,3.38E-07,44391578.58,2.133461445
write,timediff,2016,2,22,0.00024991,7.23E-05,0.000943741,9.21E-05,1.57E-15,3.37E-11,1.03E-05,2145090.951,2.116877875
document,write,timediff,2016,22,0.000200586,0.00024991,7.23E-05,0.000943741,3.42E-15,7.35E-11,2.23E-05,984631.912,2.079531742
reserved,powered,by,wordpress,22,0.000355136,0.000118379,0.002772032,0.00013482,1.57E-14,3.37E-10,0.000102574,214478.7276,2.054746513
rights,reserved,powered,by,22,0.000483379,0.000355136,0.000118379,0.002772032,5.63E-14,1.21E-09,0.000367766,59820.59748,2.049769273
all,rights,reserved,powered,22,0.00395253,0.000483379,0.000355136,0.000118379,8.03E-14,1.72E-09,0.000524383,41954.04632,2.049194288
in,about,tmz,contact,22,0.012064753,0.003791404,0.000805632,0.000302523,1.11E-11,2.39E-07,0.072783293,302.2671709,2.047853842
sign,in,about,tmz,22,0.000805632,0.012064753,0.003791404,0.000805632,2.97E-11,6.37E-07,0.193825073,113.504407,2.047847767
now,on,now,on,22,0.002226175,0.007816276,0.002226175,0.007816276,3.03E-10,6.50E-06,1.976680462,11.12977055,2.047844473
font,size,10px,color,6,4.27E-05,5.59E-05,1.97E-05,0.000207163,9.77E-18,2.10E-13,6.38E-08,94094969.99,2.006309884
awards,stfu,category,featuring,15,0.000220316,5.26E-05,8.88E-05,5.92E-05,6.09E-17,1.31E-12,3.98E-07,37718936.2,1.91872109
ben,carson,donald,trump,15,8.22E-05,5.59E-05,0.000101937,0.000131532,6.16E-17,1.32E-12,4.02E-07,37288926.01,1.904882413
llc,all,rights,reserved,21,9.86E-05,0.00395253,0.000483379,0.000355136,6.69E-14,1.44E-09,0.000436986,48056.45306,1.857533303
share,this,share,this,21,0.000654371,0.006764022,0.000654371,0.006764022,1.96E-11,4.21E-07,0.127901461,164.1888987,1.855992024
im,not,going,to,21,0.002097932,0.005146181,0.001068696,0.02759208,3.18E-10,6.83E-06,2.078417888,10.10383914,1.855987066
i,dont,want,to,21,0.014264622,0.002686537,0.001706625,0.02759208,1.80E-09,3.87E-05,11.78130643,1.782484831,1.855986798
peen,picks,yo,gotti,15,4.93E-05,9.54E-05,0.000236757,6.25E-05,6.96E-17,1.49E-12,4.54E-07,33022894.41,1.767592103
donald,trump,meek,mill,15,0.000101937,0.000131532,6.91E-05,7.89E-05,7.31E-17,1.57E-12,4.77E-07,31444034.83,1.716780918
drake,whose,new,collab,20,9.86E-05,0.000187433,0.001854598,6.91E-05,2.37E-15,5.08E-11,1.55E-05,1293703.395,1.705763596
whose,new,collab,shoe,20,0.000187433,0.001854598,6.91E-05,0.000108514,2.60E-15,5.59E-11,1.70E-05,1176093.995,1.701978666
picks,yo,gotti,sliding,15,9.54E-05,0.000236757,6.25E-05,5.26E-05,7.42E-17,1.59E-12,4.85E-07,30958963.51,1.701170253
department,from,michael,jordan,20,9.21E-05,0.003271853,0.000167703,0.000177568,8.97E-15,1.93E-10,5.86E-05,341494.866,1.675119425
worth,selling,your,soul,20,0.000223604,7.56E-05,0.004748297,0.000124955,1.00E-14,2.15E-10,6.55E-05,305310.4633,1.673954931
shoes,worth,selling,your,20,0.00013482,0.000223604,7.56E-05,0.004748297,1.08E-14,2.32E-10,7.07E-05,282970.6733,1.673235987
content,is,available,customized,20,0.000184145,0.011732635,0.000161126,7.23E-05,2.52E-14,5.41E-10,0.000164412,121645.9329,1.668044201
kanye,west,has,competition,20,0.000450496,0.00040446,0.003653295,7.23E-05,4.82E-14,1.03E-09,0.000314386,63616.06594,1.666176672
account,log,out,change,20,0.000420902,0.000141397,0.003127168,0.000292658,5.45E-14,1.17E-09,0.00035559,56244.5282,1.665939439
michael,jordan,and,drake,20,0.000167703,0.000177568,0.022837206,9.86E-05,6.71E-14,1.44E-09,0.000437984,45663.77233,1.665598927
jordan,and,drake,whose,20,0.000177568,0.022837206,9.86E-05,0.000187433,7.50E-14,1.61E-09,0.000489511,40857.05946,1.665444237
the,shoes,worth,selling,20,0.032968442,0.00013482,0.000223604,7.56E-05,7.52E-14,1.61E-09,0.000490737,40755.00222,1.665440952
looks,like,kanye,west,20,0.000259775,0.00312388,0.000450496,0.00040446,1.48E-13,3.17E-09,0.000965333,20718.23962,1.664796125
available,customized,for,our,20,0.000161126,7.23E-05,0.008924432,0.001535634,1.60E-13,3.43E-09,0.001042909,19177.13573,1.664746529
new,collab,shoe,is,20,0.001854598,6.91E-05,0.000108514,0.011732635,1.63E-13,3.50E-09,0.001064481,18788.49712,1.664734022
customized,for,our,international,20,7.23E-05,0.008924432,0.001535634,0.000167703,1.66E-13,3.57E-09,0.001085476,18425.09119,1.664722326
for,our,international,audience,20,0.008924432,0.001535634,0.000167703,0.000108514,2.49E-13,5.35E-09,0.001628214,12283.39413,1.664524673
earth,mama,angel,baby,20,0.00013482,0.00366316,9.21E-05,0.006152399,2.80E-13,6.01E-09,0.001826424,10950.35908,1.664481773
soul,for,department,from,20,0.000124955,0.008924432,9.21E-05,0.003271853,3.36E-13,7.21E-09,0.002193185,9119.156623,1.664422841
selling,your,soul,for,20,7.56E-05,0.004748297,0.000124955,0.008924432,4.00E-13,8.60E-09,0.002614504,7649.63578,1.664375549
for,department,from,michael,20,0.008924432,9.21E-05,0.003271853,0.000167703,4.51E-13,9.68E-09,0.002943485,6794.665719,1.664348034
your,soul,for,department,20,0.004748297,0.000124955,0.008924432,9.21E-05,4.88E-13,1.05E-08,0.003182874,6283.62939,1.664331587
are,commenting,using,your,20,0.004843658,0.000105225,0.000295947,0.004748297,7.16E-13,1.54E-08,0.004675878,4277.271313,1.664267018
and,drake,whose,new,20,0.022837206,9.86E-05,0.000187433,0.001854598,7.83E-13,1.68E-08,0.005112676,3911.846118,1.664255258
is,available,customized,for,20,0.011732635,0.000161126,7.23E-05,0.008924432,1.22E-12,2.62E-08,0.00796809,2510.01188,1.664210144
west,has,competition,in,20,0.00040446,0.003653295,7.23E-05,0.012064753,1.29E-12,2.77E-08,0.008419578,2375.415926,1.664205813
you,are,commenting,using,20,0.010821778,0.004843658,0.000105225,0.000295947,1.63E-12,3.50E-08,0.010656728,1876.748641,1.664189764
like,kanye,west,has,20,0.00312388,0.000450496,0.00040446,0.003653295,2.08E-12,4.46E-08,0.013575759,1473.214159,1.664176778
from,michael,jordan,and,20,0.003271853,0.000167703,0.000177568,0.022837206,2.23E-12,4.78E-08,0.014526468,1376.797156,1.664173675
this,content,is,available,20,0.006764022,0.000184145,0.011732635,0.000161126,2.35E-12,5.05E-08,0.015372483,1301.02602,1.664171236
collab,shoe,is,the,20,6.91E-05,0.000108514,0.011732635,0.032968442,2.90E-12,6.22E-08,0.01892285,1056.923237,1.664163381
competition,in,the,shoes,20,7.23E-05,0.012064753,0.032968442,0.00013482,3.88E-12,8.33E-08,0.02532694,789.6729785,1.66415478
around,the,web,1,20,0.000815497,0.032968442,0.000220316,0.000871398,5.16E-12,1.11E-07,0.033697744,593.5115421,1.664148467
in,the,shoes,worth,20,0.012064753,0.032968442,0.00013482,0.000223604,1.20E-11,2.57E-07,0.078283269,255.4824342,1.664137588
is,the,new,flavor,20,0.011732635,0.032968442,0.001854598,7.23E-05,5.19E-11,1.11E-06,0.338809126,59.03028719,1.664131266
new,flavor,of,the,20,0.001854598,7.23E-05,0.01604359,0.032968442,7.10E-11,1.52E-06,0.46329869,43.16869536,1.664130756
the,new,flavor,of,20,0.032968442,0.001854598,7.23E-05,0.01604359,7.10E-11,1.52E-06,0.46329869,43.16869536,1.664130756
shoe,is,the,new,20,0.000108514,0.011732635,0.032968442,0.001854598,7.78E-11,1.67E-06,0.508213689,39.35352479,1.664130633
has,competition,in,the,20,0.003653295,7.23E-05,0.012064753,0.032968442,1.05E-10,2.26E-06,0.686298296,29.14184709,1.664130304
for,the,sake,of,20,0.008924432,0.032968442,0.000108514,0.01604359,5.12E-10,1.10E-05,3.344129372,5.980629866,1.664129559
erica,dixon,talks,restraining,15,7.56E-05,5.92E-05,0.000243334,7.23E-05,7.88E-17,1.69E-12,5.14E-07,29156524.12,1.643163776
occurring,grinsells,attorney,dennis,11,3.62E-05,0.000157838,0.000121667,4.60E-05,3.20E-17,6.86E-13,2.09E-07,52690004.31,1.633093599
homie,quan,young,dolph,9,3.62E-05,2.96E-05,0.000506397,3.95E-05,2.14E-17,4.59E-13,1.40E-07,64447278,1.62775386
kanyes,epic,snl,meltdown,8,5.59E-05,5.26E-05,6.91E-05,8.88E-05,1.80E-17,3.87E-13,1.18E-07,67957478.33,1.548862478
lhhatl,exclusive,erica,dixon,15,5.59E-05,0.000381442,7.56E-05,5.92E-05,9.55E-17,2.05E-12,6.23E-07,24070396.18,1.479480956
add,to,watchlist,share,19,0.000279505,0.02759208,7.56E-05,0.000654371,3.82E-13,8.19E-09,0.002491807,7624.989903,1.472517381
you,around,the,web,19,0.010821778,0.000815497,0.032968442,0.000220316,6.41E-11,1.38E-06,0.418487832,45.40155901,1.472273453
concert,grady,cole,center,9,7.56E-05,3.95E-05,5.59E-05,0.000141397,2.36E-17,5.06E-13,1.54E-07,58440682.83,1.434448374
vv,brown,drops,whiteface,15,4.93E-05,0.000358424,0.000121667,4.93E-05,1.06E-16,2.28E-12,6.93E-07,21656075.17,1.401782779
miller,renwick,scott,explain,15,9.86E-05,4.93E-05,0.000164415,0.000138108,1.10E-16,2.37E-12,7.21E-07,20794988.37,1.374071106
href,http,hellobeautiful,com,18,7.23E-05,0.000253199,5.92E-05,0.001226534,1.33E-15,2.85E-11,8.68E-06,2073370.874,1.347140268
beef,explained,jennifer,williams,15,7.56E-05,8.88E-05,0.000105225,0.00017428,1.23E-16,2.64E-12,8.04E-07,18658341.7,1.305309101
http,hellobeautiful,com,2015,18,0.000253199,5.92E-05,0.001226534,0.000644506,1.18E-14,2.54E-10,7.73E-05,232725.3022,1.287904232
a,href,http,hellobeautiful,18,0.021117428,7.23E-05,0.000253199,5.92E-05,2.29E-14,4.92E-10,0.000149471,120424.6864,1.28429015
confirm,the,information,below,18,6.58E-05,0.032968442,0.00026964,0.000282793,1.65E-13,3.55E-09,0.001079371,16676.37824,1.280951301
please,confirm,the,information,18,0.000634641,6.58E-05,0.032968442,0.00026964,3.71E-13,7.97E-09,0.002422309,7430.925017,1.280653762
watchlist,share,this,video,18,7.56E-05,0.000654371,0.006764022,0.001417255,4.74E-13,1.02E-08,0.003097371,5811.379834,1.280601641
to,watchlist,share,this,18,0.02759208,7.56E-05,0.000654371,0.006764022,9.24E-12,1.98E-07,0.060301719,298.4989523,1.280424225
mother,of,his,child,18,0.001354777,0.01604359,0.006356274,0.003038384,4.20E-10,9.01E-06,2.740517806,6.568101824,1.28041483
would,you,like,to,18,0.002259058,0.010821778,0.00312388,0.02759208,2.11E-09,4.52E-05,13.7569676,1.308427883,1.28041466
addthis_button_tweet,width,100px,important,14,4.60E-05,0.000161126,4.60E-05,0.000295947,1.01E-16,2.17E-12,6.60E-07,21219375.89,1.195871458
105px,important,addthis_button_tweet,width,14,4.60E-05,0.000295947,4.60E-05,0.000161126,1.01E-16,2.17E-12,6.60E-07,21219375.89,1.195871458
important,addthis_button_google_plusone,width,90px,14,0.000295947,4.60E-05,0.000161126,4.60E-05,1.01E-16,2.17E-12,6.60E-07,21219375.89,1.195871458
100px,important,addthis_button_google_plusone,width,14,4.60E-05,0.000295947,4.60E-05,0.000161126,1.01E-16,2.17E-12,6.60E-07,21219375.89,1.195871458
addthis_button_facebook_share,width,105px,important,14,4.60E-05,0.000161126,4.60E-05,0.000295947,1.01E-16,2.17E-12,6.60E-07,21219375.89,1.195871458
width,100px,important,addthis_button_google_plusone,14,0.000161126,4.60E-05,0.000295947,4.60E-05,1.01E-16,2.17E-12,6.60E-07,21219375.89,1.195871458
important,addthis_button_tweet,width,100px,14,0.000295947,4.60E-05,0.000161126,4.60E-05,1.01E-16,2.17E-12,6.60E-07,21219375.89,1.195871458
width,105px,important,addthis_button_tweet,14,0.000161126,4.60E-05,0.000295947,4.60E-05,1.01E-16,2.17E-12,6.60E-07,21219375.89,1.195871458
addthis_button_google_plusone,width,90px,important,14,4.60E-05,0.000161126,4.60E-05,0.000295947,1.01E-16,2.17E-12,6.60E-07,21219375.89,1.195871458
90px,important,google_ad_client,pub,13,4.60E-05,0.000295947,6.58E-05,8.22E-05,7.37E-17,1.58E-12,4.81E-07,27033484.88,1.19112494
stevie,j,gives,dbs,15,4.93E-05,0.000167703,0.000184145,0.000105225,1.60E-16,3.44E-12,1.05E-06,14334780.58,1.166167365
video,lhhnys,amina,buddafly,15,0.001417255,4.93E-05,4.93E-05,4.93E-05,1.70E-16,3.65E-12,1.11E-06,13509505.2,1.139608182
faust,joseline,hernandez,video,15,4.93E-05,4.93E-05,4.93E-05,0.001417255,1.70E-16,3.65E-12,1.11E-06,13509505.2,1.139608182
h,rainfall,0,humidity,7,9.21E-05,2.30E-05,0.000361712,2.30E-05,1.76E-17,3.79E-13,1.15E-07,60764576.4,1.125521649
TRUE,addthis_button_facebook_share,width,105px,14,0.000338694,4.60E-05,0.000161126,4.60E-05,1.16E-16,2.48E-12,7.55E-07,18541202.23,1.109681921
data_track_addressbar,TRUE,addthis_button_facebook_share,width,14,4.60E-05,0.000338694,4.60E-05,0.000161126,1.16E-16,2.48E-12,7.55E-07,18541202.23,1.109681921
explained,jennifer,williams,breaks,15,8.88E-05,0.000105225,0.00017428,0.00011509,1.87E-16,4.02E-12,1.22E-06,12261195.97,1.099434837
mccartney,music,legend,rejected,14,5.92E-05,0.000388019,9.86E-05,5.26E-05,1.19E-16,2.56E-12,7.78E-07,17990014.65,1.091943488
weve,sent,an,email,17,0.000213739,0.000226892,0.002508969,0.000453785,5.52E-14,1.19E-09,0.000360468,47160.89961,1.090074986
an,email,with,instructions,17,0.002508969,0.000453785,0.008704116,6.91E-05,6.84E-13,1.47E-08,0.004467634,3805.145713,1.088679702
with,your,existing,account,17,0.008704116,0.004748297,8.55E-05,0.000420902,1.49E-12,3.19E-08,0.009709687,1750.828875,1.08861359
sent,an,email,with,17,0.000226892,0.002508969,0.000453785,0.008704116,2.25E-12,4.83E-08,0.01467937,1158.087826,1.088594514
with,instructions,to,create,17,0.008704116,6.91E-05,0.02759208,0.000220316,3.65E-12,7.84E-08,0.023854072,712.6665791,1.088580179
email,with,instructions,to,17,0.000453785,0.008704116,6.91E-05,0.02759208,7.53E-12,1.62E-07,0.049132268,346.0047884,1.088568379
instructions,to,create,a,17,6.91E-05,0.02759208,0.000220316,0.021117428,8.86E-12,1.90E-07,0.057873385,293.7446955,1.088566697
at,the,same,time,17,0.003774962,0.032968442,0.000644506,0.001805274,1.45E-10,3.11E-06,0.945363375,17.98250329,1.088557823
2016,nyp,holdings,inc,16,0.000943741,5.26E-05,5.26E-05,0.000157838,4.12E-16,8.85E-12,2.69E-06,5943689.511,1.087980913
dirty,dog,diaries,jesus,15,0.000157838,0.00026964,5.26E-05,9.21E-05,2.06E-16,4.43E-12,1.35E-06,11144417.83,1.063494452
bossip,awards,stfu,category,15,0.000213739,0.000220316,5.26E-05,8.88E-05,2.20E-16,4.72E-12,1.44E-06,10445243.87,1.040993491
eric,legette,336,887,11,8.22E-05,0.000180856,9.21E-05,3.62E-05,4.95E-17,1.06E-12,3.23E-07,34028162.78,1.032514361
panther,party,documentary,film,15,5.59E-05,0.000335406,7.56E-05,0.000161126,2.28E-16,4.91E-12,1.49E-06,10055819.77,1.028460964
renwick,scott,explain,color,15,4.93E-05,0.000164415,0.000138108,0.000207163,2.32E-16,4.98E-12,1.51E-06,9902375.413,1.023522786
harvey,b,gantt,center,6,1.97E-05,0.000263064,1.97E-05,0.000141397,1.45E-17,3.11E-13,9.45E-08,63473074.96,1.020829735
search,keywords,celebrities,topics,15,0.000164415,4.93E-05,0.000184145,0.000157838,2.36E-16,5.06E-12,1.54E-06,9747650.797,1.018543407
impregnating,tara,video,wendy,15,5.26E-05,5.92E-05,0.001417255,5.59E-05,2.47E-16,5.30E-12,1.61E-06,9312618.477,1.004543107
important,google_ad_client,pub,5.92E+15,13,0.000295947,6.58E-05,8.22E-05,5.92E-05,9.47E-17,2.03E-12,6.18E-07,21026043.79,0.997792231
shots,fired,real,housewives,15,8.88E-05,9.54E-05,0.000542569,5.59E-05,2.57E-16,5.51E-12,1.68E-06,8947379.591,0.992788914
dixon,talks,restraining,order,15,5.92E-05,0.000243334,7.23E-05,0.00024991,2.60E-16,5.59E-12,1.70E-06,8823684.932,0.988808147
keywords,celebrities,topics,celebrities,15,4.93E-05,0.000184145,0.000157838,0.000184145,2.64E-16,5.67E-12,1.72E-06,8703259.64,0.984932595
exclusive,beef,explained,jennifer,15,0.000381442,7.56E-05,8.88E-05,0.000105225,2.70E-16,5.79E-12,1.76E-06,8524931.982,0.979193617
grinsells,attorney,dennis,lattimer,12,0.000157838,0.000121667,4.60E-05,7.89E-05,6.98E-17,1.50E-12,4.55E-07,26345002.15,0.977110673
