w1,w2,w3,count,p1,p2,p3,joint.prob.nonnorm,joint.prob,expected,disparity,score
pop,culture,moments,69,0.000295947,0.000299235,0.000299235,2.65E-11,3.87E-09,0.001175672,58689.82245,6.49283874
potomacs,karen,throws,15,4.93E-05,7.23E-05,5.92E-05,2.11E-13,3.08E-11,9.37E-06,1600824.834,6.322000294
culture,moments,of,69,0.000299235,0.000299235,0.01604359,1.44E-09,2.10E-07,0.063734503,1082.616114,6.263836616
moments,of,2015,69,0.000299235,0.01604359,0.000644506,3.09E-09,4.51E-07,0.137274314,502.6431958,6.261531088
a,baby,mama,67,0.021117428,0.006152399,0.00366316,4.76E-07,6.94E-05,21.11496085,3.173105575,6.026168321
black,pop,culture,66,0.001555363,0.000295947,0.000299235,1.38E-10,2.01E-08,0.006110912,10800.35155,5.952401003
symone,ben,carson,15,4.93E-05,8.22E-05,5.59E-05,2.27E-13,3.31E-11,1.01E-05,1491592.081,5.887774542
the,mother,of,65,0.032968442,0.001354777,0.01604359,7.17E-07,0.000104541,31.79191842,2.044544753,5.792786578
top,black,pop,63,0.000519551,0.001555363,0.000295947,2.39E-10,3.49E-08,0.010610155,5937.707658,5.583004971
alano,miller,renwick,15,4.93E-05,9.86E-05,4.93E-05,2.40E-13,3.50E-11,1.06E-05,1408725.854,5.558361903
to,do,with,60,0.02759208,0.002541852,0.008704116,6.10E-07,8.91E-05,27.08371015,2.215353793,5.209344115
category,featuring,raven,15,8.88E-05,5.92E-05,4.93E-05,2.59E-13,3.78E-11,1.15E-05,1304375.791,5.143545986
1722,st2,fill,12,3.95E-05,3.95E-05,0.000124955,1.95E-13,2.84E-11,8.63E-06,1390189.988,5.134611611
st1,fill,1722,12,3.95E-05,0.000124955,3.95E-05,1.95E-13,2.84E-11,8.63E-06,1390189.988,5.134611611
fill,1722,st2,12,0.000124955,3.95E-05,3.95E-05,1.95E-13,2.84E-11,8.63E-06,1390189.988,5.134611611
one,of,the,59,0.002456356,0.01604359,0.032968442,1.30E-06,0.000189544,57.64214336,1.023556665,5.092650749
stfu,category,featuring,15,5.26E-05,8.88E-05,5.92E-05,2.76E-13,4.03E-11,1.23E-05,1222852.304,4.819471052
out,of,stock,56,0.003127168,0.01604359,0.000184145,9.24E-09,1.35E-06,0.409883431,136.6242101,4.743123909
temporarily,out,of,56,0.000187433,0.003127168,0.01604359,9.40E-09,1.37E-06,0.417202778,134.2272941,4.743114381
take,care,of,56,0.001016083,0.000690542,0.01604359,1.13E-08,1.64E-06,0.499424212,112.1291252,4.743026535
terrorist,fist,jab,15,6.58E-05,8.22E-05,5.26E-05,2.84E-13,4.15E-11,1.26E-05,1188612.44,4.683359579
rich,homie,quan,9,0.000141397,3.62E-05,2.96E-05,1.51E-13,2.21E-11,6.72E-06,1340225.443,4.58592497
stock,temporarily,out,54,0.000184145,0.000187433,0.003127168,1.08E-10,1.57E-08,0.004788554,11276.89039,4.554031817
of,stock,temporarily,54,0.01604359,0.000184145,0.000187433,5.54E-10,8.08E-08,0.024567146,2198.057545,4.517941332
i,dont,know,54,0.014264622,0.002686537,0.002170274,8.32E-08,1.21E-05,3.689916519,14.63447743,4.509261714
demon,inspired,org,15,5.26E-05,7.89E-05,7.23E-05,3.00E-13,4.38E-11,1.33E-05,1125579.962,4.432790732
9384193660,google_ad_width,336,14,4.60E-05,6.58E-05,9.21E-05,2.79E-13,4.07E-11,1.24E-05,1132011.847,4.341670354
sign,in,sign,51,0.000805632,0.012064753,0.000805632,7.83E-09,1.14E-06,0.347408853,146.8010949,4.159721223
8907,fatherswithvoices,yahoo,11,3.62E-05,9.86E-05,5.92E-05,2.11E-13,3.08E-11,9.37E-06,1173938.212,4.158271578
karen,throws,shade,15,7.23E-05,5.92E-05,7.56E-05,3.24E-13,4.72E-11,1.44E-05,1044016.196,4.108555682
individuals,financially,legally,9,4.27E-05,5.92E-05,6.58E-05,1.66E-13,2.43E-11,7.38E-06,1219089.682,4.104381977
concert,grady,cole,9,7.56E-05,3.95E-05,5.59E-05,1.67E-13,2.43E-11,7.40E-06,1215971.805,4.091987689
st2,fill,ffffff,12,3.95E-05,0.000124955,4.93E-05,2.43E-13,3.55E-11,1.08E-05,1112151.99,4.029345519
pub,5.9228E+15,bn,14,8.22E-05,5.92E-05,6.25E-05,3.04E-13,4.44E-11,1.35E-05,1038008.524,3.967985151
to,deal,with,49,0.02759208,0.000355136,0.008704116,8.53E-08,1.24E-05,3.78401125,12.94922155,3.925811874
want,to,be,48,0.001706625,0.02759208,0.005813705,2.74E-07,3.99E-05,12.14575008,3.951999644,3.809087479
336,google_ad_height,280,14,9.21E-05,6.58E-05,5.26E-05,3.19E-13,4.65E-11,1.41E-05,990510.3663,3.77916886
google_ad_client,pub,5.9228E+15,14,6.58E-05,8.22E-05,5.92E-05,3.20E-13,4.67E-11,1.42E-05,986108.098,3.761668814
the,fact,that,47,0.032968442,0.000368289,0.011456419,1.39E-07,2.03E-05,6.171416684,7.61575541,3.692413415
2015,bossip,awards,45,0.000644506,0.000213739,0.000220316,3.03E-11,4.43E-09,0.001346497,33420.06437,3.591858459
create,a,new,46,0.000220316,0.021117428,0.001854598,8.63E-09,1.26E-06,0.382811705,120.1635147,3.576172191
the,father,of,46,0.032968442,0.000858245,0.01604359,4.54E-07,6.62E-05,20.14002599,2.284008969,3.575703592
privacy,invasion,impersonation,9,0.000213739,2.96E-05,2.96E-05,1.87E-13,2.73E-11,8.31E-06,1083635.273,3.565919009
addthis_button_facebook_share,width,105px,14,4.60E-05,0.000161126,4.60E-05,3.41E-13,4.98E-11,1.52E-05,924091.3038,3.515137547
addthis_button_google_plusone,width,90px,14,4.60E-05,0.000161126,4.60E-05,3.41E-13,4.98E-11,1.52E-05,924091.3038,3.515137547
addthis_button_tweet,width,100px,14,4.60E-05,0.000161126,4.60E-05,3.41E-13,4.98E-11,1.52E-05,924091.3038,3.515137547
part,of,the,45,0.000522839,0.01604359,0.032968442,2.77E-07,4.03E-05,12.26921124,3.667717438,3.459020464
nyp,holdings,inc,16,5.26E-05,5.26E-05,0.000157838,4.37E-13,6.37E-11,1.94E-05,825425.3052,3.356294375
a,new,password,44,0.021117428,0.001854598,0.000190721,7.47E-09,1.09E-06,0.331389237,132.7743784,3.342845065
sam,hunt,manny,14,6.25E-05,5.59E-05,0.000105225,3.68E-13,5.36E-11,1.63E-05,858646.7571,3.254980162
around,the,web,43,0.000815497,0.032968442,0.000220316,5.92E-09,8.64E-07,0.262793842,163.6263606,3.226279081
dont,want,to,43,0.002686537,0.001706625,0.02759208,1.27E-07,1.85E-05,5.612600575,7.661332643,3.225659083
at,the,time,43,0.003774962,0.032968442,0.001805274,2.25E-07,3.28E-05,9.967883047,4.313854787,3.225645776
you,want,to,43,0.010821778,0.001706625,0.02759208,5.10E-07,7.43E-05,22.60840697,1.901947362,3.225636188
i,want,to,43,0.014264622,0.001706625,0.02759208,6.72E-07,9.80E-05,29.80105422,1.442901975,3.225634363
spanish,civil,servant,9,4.93E-05,0.000141397,2.96E-05,2.06E-13,3.01E-11,9.16E-06,982831.9913,3.165202382
grady,cole,center,12,3.95E-05,5.59E-05,0.000141397,3.12E-13,4.55E-11,1.38E-05,867204.6982,3.055622724
sign,up,sign,41,0.000805632,0.003225817,0.000805632,2.09E-09,3.05E-07,0.092888549,441.3891767,2.994005996
as,well,as,41,0.004524693,0.001321894,0.004524693,2.71E-08,3.95E-06,1.200670725,34.14758029,2.992387115
google_ad_width,336,google_ad_height,14,6.58E-05,9.21E-05,6.58E-05,3.98E-13,5.81E-11,1.77E-05,792408.293,2.991666769
your,email,address,40,0.004748297,0.000453785,0.000279505,6.02E-10,8.79E-08,0.02671937,1497.041311,2.881513832
going,to,be,40,0.001068696,0.02759208,0.005813705,1.71E-07,2.50E-05,7.605720186,5.259199526,2.875583649
ben,carson,donald,15,8.22E-05,5.59E-05,0.000101937,4.68E-13,6.83E-11,2.08E-05,721738.1037,2.827424861
baby,mama,is,39,0.006152399,0.00366316,0.011732635,2.64E-07,3.86E-05,11.73126445,3.32444982,2.75888733
kanyes,epic,snl,8,5.59E-05,5.26E-05,6.91E-05,2.03E-13,2.96E-11,9.01E-06,887852.4292,2.670947772
a,man,who,38,0.021117428,0.001706625,0.002857528,1.03E-07,1.50E-05,4.568971368,8.316970482,2.642218548
i,dont,think,37,0.014264622,0.002686537,0.001548787,5.94E-08,8.66E-06,2.633258607,14.05103164,2.525552714
mother,of,his,37,0.001354777,0.01604359,0.006356274,1.38E-07,2.02E-05,6.129441284,6.036439259,2.525520854
vs,oj,simpson,12,8.22E-05,5.26E-05,8.55E-05,3.70E-13,5.39E-11,1.64E-05,731453.8089,2.515981177
sign,up,for,36,0.000805632,0.003225817,0.008924432,2.32E-08,3.38E-06,1.028977637,34.9861831,2.408947307
be,able,to,35,0.005813705,0.000233469,0.02759208,3.75E-08,5.46E-06,1.661557333,21.06457557,2.292203337
i,have,been,35,0.014264622,0.005576948,0.00187104,1.49E-07,2.17E-05,6.603720186,5.300042857,2.29214067
there,is,a,35,0.00173622,0.011732635,0.021117428,4.30E-07,6.28E-05,19.08490799,1.833909811,2.292126891
amina,buddafly,talks,15,4.93E-05,4.93E-05,0.000243334,5.92E-13,8.64E-11,2.63E-05,571105.0761,2.228623332
var,addthis_config,data_track_addressbar,14,0.00024991,4.60E-05,4.60E-05,5.30E-13,7.73E-11,2.35E-05,595795.709,2.210085747
scott,disick,heading,14,0.000164415,6.25E-05,5.26E-05,5.40E-13,7.88E-11,2.40E-05,583879.7949,2.1627172
attorney,dennis,lattimer,12,0.000121667,4.60E-05,7.89E-05,4.42E-13,6.45E-11,1.96E-05,611898.2958,2.04072004
police,kaley,cuoco,14,0.00026964,4.60E-05,4.60E-05,5.71E-13,8.34E-11,2.54E-05,552200.9011,2.036786185
creepy,preacher,talks,15,5.26E-05,5.26E-05,0.000243334,6.74E-13,9.83E-11,2.99E-05,501947.8207,1.953707062
baby,mama,and,32,0.006152399,0.00366316,0.022837206,5.15E-07,7.51E-05,22.83453801,1.401385917,1.942059287
he,has,a,32,0.007599249,0.003653295,0.021117428,5.86E-07,8.55E-05,26.01029672,1.230282005,1.942058607
snl,meltdown,uncensored,8,6.91E-05,8.88E-05,4.27E-05,2.62E-13,3.82E-11,1.16E-05,688022.3952,1.876576633
beef,explained,jennifer,15,7.56E-05,8.88E-05,0.000105225,7.07E-13,1.03E-10,3.13E-05,478507.4233,1.860525998
100px,important,addthis_button_google_plusone,14,4.60E-05,0.000295947,4.60E-05,6.27E-13,9.15E-11,2.78E-05,503116.3765,1.841663716
105px,important,addthis_button_tweet,14,4.60E-05,0.000295947,4.60E-05,6.27E-13,9.15E-11,2.78E-05,503116.3765,1.841663716
trump,meek,mill,15,0.000131532,6.91E-05,7.89E-05,7.17E-13,1.05E-10,3.18E-05,471671.603,1.833352013
add,a,comment,31,0.000279505,0.021117428,0.000664236,3.92E-09,5.72E-07,0.173940854,178.2215008,1.82607356
as,long,as,31,0.004524693,0.000591893,0.004524693,1.21E-08,1.77E-06,0.537613758,57.66221485,1.825594308
do,you,think,31,0.002541852,0.010821778,0.001548787,4.26E-08,6.22E-06,1.890119594,16.40107859,1.825430286
not,going,to,31,0.005146181,0.001068696,0.02759208,1.52E-07,2.21E-05,6.732438966,4.604572007,1.825383392
i,dont,have,31,0.014264622,0.002686537,0.005576948,2.14E-07,3.12E-05,9.481967297,3.269363733,1.825378084
a,man,with,31,0.021117428,0.001706625,0.008704116,3.14E-07,4.58E-05,13.91722349,2.227455787,1.825373942
href,http,hellobeautiful,18,7.23E-05,0.000253199,5.92E-05,1.08E-12,1.58E-10,4.81E-05,374218.7925,1.796020175
carson,donald,trump,15,5.59E-05,0.000101937,0.000131532,7.50E-13,1.09E-10,3.33E-05,451086.3148,1.751520676
buddafly,talks,peter,15,4.93E-05,0.000243334,6.25E-05,7.50E-13,1.09E-10,3.33E-05,450872.4285,1.750670428
hunt,manny,pacquiao,14,5.59E-05,0.000105225,0.000111802,6.58E-13,9.59E-11,2.92E-05,479832.0113,1.749102917
angela,simmons,dms,15,0.000128243,0.000111802,5.26E-05,7.54E-13,1.10E-10,3.35E-05,448194.7359,1.740025973
he,told,me,30,0.007599249,0.000858245,0.004120233,2.69E-08,3.92E-06,1.192209354,25.16336574,1.70877649
thank,you,for,30,0.000332118,0.010821778,0.008924432,3.21E-08,4.68E-06,1.423049806,21.0814828,1.708760263
i,dont,want,30,0.014264622,0.002686537,0.001706625,6.54E-08,9.54E-06,2.901616172,10.33906562,1.708717559
the,rest,of,30,0.032968442,0.000147973,0.01604359,7.83E-08,1.14E-05,3.472418274,8.639512187,1.708710803
is,going,to,30,0.011732635,0.001068696,0.02759208,3.46E-07,5.05E-05,15.34910047,1.954511932,1.708684229
in,the,house,30,0.012064753,0.032968442,0.000891128,3.54E-07,5.17E-05,15.72554493,1.907724033,1.708684043
yo,gotti,sliding,15,0.000236757,6.25E-05,5.26E-05,7.78E-13,1.14E-10,3.45E-05,434434.3712,1.685325304
miller,renwick,scott,15,9.86E-05,4.93E-05,0.000164415,8.00E-13,1.17E-10,3.55E-05,422617.7563,1.638351495
inc,all,rights,29,0.000157838,0.00395253,0.000483379,3.02E-10,4.40E-08,0.013379012,2167.57412,1.600604445
all,the,time,29,0.00395253,0.032968442,0.001805274,2.35E-07,3.43E-05,10.43675559,2.778641287,1.591998877
of,the,day,29,0.01604359,0.032968442,0.001052254,5.57E-07,8.12E-05,24.69275217,1.174433688,1.5919925
data_track_addressbar,TRUE,addthis_button_facebook_share,14,4.60E-05,0.000338694,4.60E-05,7.18E-13,1.05E-10,3.18E-05,439616.2513,1.589235862
addthis_config,data_track_addressbar,TRUE,14,4.60E-05,4.60E-05,0.000338694,7.18E-13,1.05E-10,3.18E-05,439616.2513,1.589235862
dog,t,shirt,28,0.00026964,0.000447208,0.000203874,2.46E-11,3.59E-09,0.0010907,25671.57889,1.577349735
talks,peter,gunz,15,0.000243334,6.25E-05,5.59E-05,8.50E-13,1.24E-10,3.77E-05,397828.6133,1.539808852
if,you,dont,28,0.003620412,0.010821778,0.002686537,1.05E-07,1.54E-05,4.669799763,5.995974436,1.475323038
to,create,a,28,0.02759208,0.000220316,0.021117428,1.28E-07,1.87E-05,5.695342234,4.916298065,1.475318746
would,like,to,28,0.002259058,0.00312388,0.02759208,1.95E-07,2.84E-05,8.638832718,3.241178631,1.475312087
donald,trump,meek,15,0.000101937,0.000131532,6.91E-05,9.26E-13,1.35E-10,4.11E-05,365165.112,1.409963792
epic,snl,meltdown,8,5.26E-05,6.91E-05,8.88E-05,3.23E-13,4.71E-11,1.43E-05,559018.1961,1.363754758
there,is,no,27,0.00173622,0.011732635,0.002219599,4.52E-08,6.60E-06,2.005965881,13.45985006,1.35866408
in,sign,in,27,0.012064753,0.000805632,0.012064753,1.17E-07,1.71E-05,5.202624824,5.189688073,1.358631205
that,she,was,27,0.011456419,0.007934655,0.005981408,5.44E-07,7.93E-05,24.12288066,1.11926931,1.358615024
shoes,worth,selling,20,0.00013482,0.000223604,7.56E-05,2.28E-12,3.33E-10,0.000101154,197718.9927,1.327769432
document,write,timediff,22,0.000200586,0.00024991,7.23E-05,3.63E-12,5.29E-10,0.000160889,136739.9988,1.318740921
powered,by,wordpress,26,0.000118379,0.002772032,0.00013482,4.42E-11,6.45E-09,0.001962795,13246.41676,1.294579552
jason,derulo,drops,15,0.000128243,6.58E-05,0.000121667,1.03E-12,1.50E-10,4.55E-05,329483.6977,1.268121822
awards,stfu,category,15,0.000220316,5.26E-05,8.88E-05,1.03E-12,1.50E-10,4.57E-05,328527.4847,1.264320651
charlotte,rich,homie,9,7.89E-05,0.000141397,3.62E-05,4.04E-13,5.89E-11,1.79E-05,502584.541,1.256106404
dixon,talks,restraining,15,5.92E-05,0.000243334,7.23E-05,1.04E-12,1.52E-10,4.62E-05,324491.5205,1.248276749
friday,november,5,8,7.23E-05,9.54E-05,4.93E-05,3.40E-13,4.96E-11,1.51E-05,529928.221,1.248115301
a,part,of,26,0.021117428,0.000522839,0.01604359,1.77E-07,2.58E-05,7.858854434,3.308370223,1.241935098
to,see,his,26,0.02759208,0.00152248,0.006356274,2.67E-07,3.90E-05,11.84643203,2.194753655,1.241930671
erica,dixon,talks,15,7.56E-05,5.92E-05,0.000243334,1.09E-12,1.59E-10,4.83E-05,310383.1935,1.192192849
peen,picks,yo,15,4.93E-05,9.54E-05,0.000236757,1.11E-12,1.62E-10,4.94E-05,303604.71,1.165246791
renwick,scott,explain,15,4.93E-05,0.000164415,0.000138108,1.12E-12,1.63E-10,4.97E-05,301869.8259,1.15835022
legette,336,887,11,0.000180856,9.21E-05,3.62E-05,6.02E-13,8.79E-11,2.67E-05,411640.6717,1.127960502
up,sign,in,25,0.003225817,0.000805632,0.012064753,3.14E-08,4.57E-06,1.391053408,17.97199149,1.125304761
i,feel,like,25,0.014264622,0.000772749,0.00312388,3.44E-08,5.02E-06,1.527713851,16.36432109,1.12529837
you,may,like,25,0.010821778,0.001035813,0.00312388,3.50E-08,5.11E-06,1.553542155,16.09225724,1.125297288
in,the,past,25,0.012064753,0.032968442,0.000302523,1.20E-07,1.76E-05,5.33856138,4.682909537,1.125251933
in,the,world,25,0.012064753,0.032968442,0.000420902,1.67E-07,2.44E-05,7.427563659,3.36584123,1.125246698
if,you,are,25,0.003620412,0.010821778,0.004843658,1.90E-07,2.77E-05,8.419357467,2.969347732,1.125245122
in,a,relationship,25,0.012064753,0.021117428,0.001124597,2.87E-07,4.18E-05,12.71174347,1.966685377,1.125241136
with,his,baby,25,0.008704116,0.006356274,0.006152399,3.40E-07,4.97E-05,15.10151728,1.655462795,1.125239899
of,the,house,25,0.01604359,0.032968442,0.000891128,4.71E-07,6.88E-05,20.9116745,1.195504454,1.12523807
timediff,2016,2,22,7.23E-05,0.000943741,9.21E-05,6.29E-12,9.17E-10,0.000278884,78885.84301,1.088757115
days,creepy,preacher,15,0.000437343,5.26E-05,5.26E-05,1.21E-12,1.77E-10,5.37E-05,279279.2386,1.06854735
wordpress,com,vip,23,0.00013482,0.001226534,8.55E-05,1.41E-11,2.06E-09,0.00062723,36669.14624,1.037624497
investigation,grinsells,bail,12,0.000111802,0.000157838,4.27E-05,7.54E-13,1.10E-10,3.35E-05,358555.7887,1.0336243
90px,important,google_ad_client,13,4.60E-05,0.000295947,6.58E-05,8.96E-13,1.31E-10,3.98E-05,327025.6447,1.024973229
posted,on,1,24,0.000440631,0.007816276,0.000124955,4.30E-10,6.28E-08,0.019093194,1256.992435,1.013541528
a,comment,add,24,0.021117428,0.000664236,0.000279505,3.92E-09,5.72E-07,0.173940854,137.9779361,1.009093184
comment,add,a,24,0.000664236,0.000279505,0.021117428,3.92E-09,5.72E-07,0.173940854,137.9779361,1.009093184
when,it,comes,24,0.002801627,0.007714339,0.00026964,5.83E-09,8.50E-07,0.258548758,92.82581817,1.008913694
baby,mama,daddy,24,0.006152399,0.00366316,0.000739866,1.67E-08,2.43E-06,0.739779849,32.44208399,1.008673654
in,sign,up,24,0.012064753,0.000805632,0.003225817,3.14E-08,4.57E-06,1.391053408,17.25311183,1.008613274
nothing,to,do,24,0.000476803,0.02759208,0.002541852,3.34E-08,4.88E-06,1.483618425,16.17666618,1.008608995
i,just,dont,24,0.014264622,0.003166628,0.002686537,1.21E-07,1.77E-05,5.383923648,4.457715519,1.00856241
of,his,child,24,0.01604359,0.006356274,0.003038384,3.10E-07,4.52E-05,13.74661103,1.745884854,1.00855163
dog,diaries,jesus,15,0.00026964,5.26E-05,9.21E-05,1.31E-12,1.91E-10,5.79E-05,258844.1724,0.987313181
follow,tmz,apps,23,0.000453785,0.000805632,9.54E-05,3.49E-11,5.09E-09,0.001546693,14870.43477,0.950969518
contact,tmz,subscribe,23,0.000302523,0.000805632,0.000223604,5.45E-11,7.95E-09,0.002417819,9512.704598,0.929671287
tmz,apps,tmz,23,0.000805632,9.54E-05,0.000805632,6.19E-11,9.03E-09,0.002745941,8375.999995,0.925152621
apps,tmz,tmz,23,9.54E-05,0.000805632,0.000805632,6.19E-11,9.03E-09,0.002745941,8375.999995,0.925152621
november,5,2004,8,9.54E-05,4.93E-05,8.55E-05,4.02E-13,5.87E-11,1.78E-05,448400.8024,0.924024737
live,tmz,sports,23,0.000723425,0.000805632,0.000124955,7.28E-11,1.06E-08,0.003230973,7118.598082,0.920154154
tmz,subscribe,follow,23,0.000805632,0.000223604,0.000453785,8.17E-11,1.19E-08,0.003626729,6341.803065,0.917066212
subscribe,follow,tmz,23,0.000223604,0.000453785,0.000805632,8.17E-11,1.19E-08,0.003626729,6341.803065,0.917066212
picks,yo,gotti,15,9.54E-05,0.000236757,6.25E-05,1.41E-12,2.06E-10,6.26E-05,239687.9289,0.911162631
occurring,grinsells,attorney,11,3.62E-05,0.000157838,0.000121667,6.95E-13,1.01E-10,3.08E-05,356940.6725,0.910515207
panther,party,documentary,15,5.59E-05,0.000335406,7.56E-05,1.42E-12,2.07E-10,6.29E-05,238425.8441,0.906145549
tmz,contact,tmz,23,0.000805632,0.000302523,0.000805632,1.96E-10,2.86E-08,0.00871126,2640.260868,0.902351716
by,wordpress,com,23,0.002772032,0.00013482,0.001226534,4.58E-10,6.69E-08,0.020336737,1130.958247,0.896351885
tmz,tmz,live,23,0.000805632,0.000805632,0.000723425,4.70E-10,6.85E-08,0.020831275,1104.10909,0.896245153
tmz,live,tmz,23,0.000805632,0.000723425,0.000805632,4.70E-10,6.85E-08,0.020831275,1104.10909,0.896245153
keywords,celebrities,topics,15,4.93E-05,0.000184145,0.000157838,1.43E-12,2.09E-10,6.36E-05,235835.8015,0.895849524
about,tmz,contact,23,0.003791404,0.000805632,0.000302523,9.24E-10,1.35E-07,0.040996258,561.0268106,0.894086274
leave,a,reply,23,0.000361712,0.021117428,0.000358424,2.74E-09,3.99E-07,0.121464813,189.35525,0.892608792
obamas,baby,mama,23,0.000332118,0.006152399,0.00366316,7.49E-09,1.09E-06,0.332078955,69.26063723,0.892131388
to,take,care,23,0.02759208,0.001016083,0.000690542,1.94E-08,2.82E-06,0.858919566,26.77782752,0.891962509
this,share,this,23,0.006764022,0.000654371,0.006764022,2.99E-08,4.37E-06,1.328258674,17.31590423,0.891924896
didnt,want,to,23,0.000930587,0.001706625,0.02759208,4.38E-08,6.39E-06,1.944144385,11.83039705,0.89190309
it,comes,to,23,0.007714339,0.00026964,0.02759208,5.74E-08,8.37E-06,2.546341113,9.032568292,0.891891968
at,the,same,23,0.003774962,0.032968442,0.000644506,8.02E-08,1.17E-05,3.558661343,6.463104461,0.891881753
what,do,you,23,0.002982483,0.002541852,0.010821778,8.20E-08,1.20E-05,3.639784441,6.319055529,0.891881181
what,to,do,23,0.002982483,0.02759208,0.002541852,2.09E-07,3.05E-05,9.280289045,2.478371082,0.891865913
with,a,man,23,0.008704116,0.021117428,0.001706625,3.14E-07,4.58E-05,13.91722349,1.652628487,0.891862631
and,baby,mama,23,0.022837206,0.006152399,0.00366316,5.15E-07,7.51E-05,22.83453801,1.007246128,0.891860065
write,timediff,2016,22,0.00024991,7.23E-05,0.000943741,1.71E-11,2.49E-09,0.000756971,29063.20532,0.890700474
rights,reserved,powered,22,0.000483379,0.000355136,0.000118379,2.03E-11,2.96E-09,0.000901581,24401.58793,0.872169454
search,keywords,celebrities,15,0.000164415,4.93E-05,0.000184145,1.49E-12,2.18E-10,6.63E-05,226402.3694,0.858349424
stevie,j,gives,15,4.93E-05,0.000167703,0.000184145,1.52E-12,2.22E-10,6.76E-05,221963.1073,0.840702318
legette,provides,insight,15,0.000180856,8.55E-05,9.86E-05,1.53E-12,2.23E-10,6.77E-05,221652.6694,0.839468255
grinsells,attorney,dennis,12,0.000157838,0.000121667,4.60E-05,8.84E-13,1.29E-10,3.92E-05,305949.1479,0.824500595
www,fatherswithvoices,info,19,0.000236757,9.86E-05,0.000194009,4.53E-12,6.61E-10,0.000201033,94511.97469,0.80080876
reserved,powered,by,22,0.000355136,0.000118379,0.002772032,1.17E-10,1.70E-08,0.005170289,4255.081169,0.792082376
lhhatl,exclusive,erica,15,5.59E-05,0.000381442,7.56E-05,1.61E-12,2.35E-10,7.15E-05,209650.3112,0.791756073
explained,jennifer,williams,15,8.88E-05,0.000105225,0.00017428,1.63E-12,2.38E-10,7.22E-05,207654.1648,0.783820924
year,old,daughter,22,0.001223246,0.001062119,0.000970047,1.26E-09,1.84E-07,0.055915019,393.4542145,0.776731505
in,about,tmz,22,0.012064753,0.003791404,0.000805632,3.69E-08,5.38E-06,1.634948602,13.4560805,0.775220924
sign,in,about,22,0.000805632,0.012064753,0.003791404,3.69E-08,5.38E-06,1.634948602,13.4560805,0.775220924
now,on,now,22,0.002226175,0.007816276,0.002226175,3.87E-08,5.65E-06,1.718571162,12.80133199,0.775218321
it,would,be,22,0.007714339,0.002259058,0.005813705,1.01E-07,1.48E-05,4.494982513,4.894346071,0.775186889
she,will,be,22,0.007934655,0.002499104,0.005813705,1.15E-07,1.68E-05,5.11462946,4.301386869,0.775184532
he,wants,to,22,0.007599249,0.000611623,0.02759208,1.28E-07,1.87E-05,5.689676991,3.866651839,0.775182804
on,now,on,22,0.007816276,0.002226175,0.007816276,1.36E-07,1.98E-05,6.034037892,3.64598307,0.775181926
in,the,same,22,0.012064753,0.032968442,0.000644506,2.56E-07,3.74E-05,11.37345685,1.934328348,0.775175122
